id,meigara,code,uriagetuuki1,uriagetuuki2,riekituuki1,riekituuki2,epstuuki1,epstuuki2,uriageshihanki1,uriageshihanki2,uriageshihanki3,riekishihanki1,riekishihanki2,riekishihanki3,epsshihanki1,epsshihanki2,epsshihanki3
0,極洋,1301,102.49,100.54,76.17,94.22,69.92,88.61,98.7,97.36,86.71,122.38,-2131.43,82.21,160.85,24773.68,80.64
1,日本水産,1332,96.9,105.14,105.3,93.31,96.07,89.3,97.22,92.59,93.17,101.25,50.57,74.53,116.93,43.83,88.13
2,マルハ,1333,98.13,100.4,78.5,88.82,75.1,103.69,98.77,94.93,91.07,111.64,118.6,90.44,80.44,24.15,70.05
3,ホウスイ,1352,104.7,103.99,128.88,77.78,135.21,79.12,102.65,109.41,98.34,157.4,144.6,128.26,179.35,138.9,149.58
5,ホウスイ,1376,99.3,99.14,83.31,102.18,87.71,131.24,0.0,99.36,108.52,0.0,76.42,123.64,0.0,58.36,120.41
6,ホウスイ,1377,98.28,100.54,96.95,102.17,89.5,119.14,0.0,111.46,108.52,0.0,214.79,126.51,0.0,177.76,128.51
7,ホクト,1379,101.48,104.9,106.55,115.75,48.65,132.77,102.45,103.38,105.8,100.15,-113.14,-98.52,1665.5,-110.66,-44.37
8,秋川牧園,1380,102.97,102.27,95.92,107.69,53.15,158.15,107.71,113.98,120.51,142.86,-325.0,-1185.71,137.22,-218.21,1578.41
9,秋川牧園,1381,100.94,101.12,112.55,81.28,109.23,84.77,0.0,105.84,105.67,0.0,123.16,150.5,0.0,121.77,149.71
10,秋川牧園,1382,89.95,92.79,52.17,-73.02,64.86,-69.39,0.0,98.24,95.38,0.0,102.17,136.36,0.0,102.36,133.83
12,ホクリヨウ,1384,105.12,139.96,90.85,15.68,262.39,13.15,89.99,96.89,103.76,12.36,64.38,-52.11,-2.28,60.79,-64.12
14,ホクリヨウ,1401,100.15,110.71,90.42,100.64,75.12,105.71,0.0,77.3,76.09,0.0,47.52,-28.12,0.0,50.36,3.49
18,ホクリヨウ,1414,111.12,101.91,110.26,108.77,111.45,110.67,0.0,121.51,140.35,0.0,119.5,150.49,0.0,127.78,150.95
19,ミライト・ホールディングス,1417,117.36,120.11,106.25,123.83,50.77,203.11,106.76,102.62,107.44,211.64,132.21,148.34,287.41,134.03,132.59
20,インターライフホールディングス,1418,98.28,93.49,191.89,162.28,-147.64,32.1,68.23,98.62,93.62,5675.0,-233.33,224.84,259.82,-145.87,216.4
21,インターライフホールディングス,1419,111.95,111.29,134.03,158.31,131.99,192.15,0.0,100.69,97.78,0.0,145.54,63.0,0.0,161.47,96.11
22,サンヨーホームズ,1420,104.57,99.58,28.73,75.71,38.45,76.75,152.96,60.94,83.46,7.19,-25.94,132.92,3.33,-35.38,146.15
24,サンヨーホームズ,1430,123.16,91.34,71.5,83.57,69.63,81.34,0.0,104.91,123.5,0.0,99.28,131.4,0.0,94.76,122.3
25,サンヨーホームズ,1431,91.5,129.25,27.07,159.28,33.5,76.56,0.0,165.06,59.37,0.0,178.4,-500.0,0.0,109.62,-100.61
26,サンヨーホームズ,1433,69.74,109.59,18.71,128.76,9.69,237.46,0.0,92.69,80.88,0.0,-17.39,11.54,0.0,2.79,6.86
29,フィット,1436,94.3,81.55,-79.7,-18.02,-19.84,-70.88,109.41,125.45,219.87,1400.0,53.27,-33.33,-34.63,33.4,-22.51
32,技研ホールディングス,1443,105.85,79.82,159.3,173.36,154.73,168.13,98.95,103.85,80.78,139.46,137.85,30.48,126.91,142.46,37.69
35,スペースバリューホールディングス,1448,99.78,111.7,59.46,104.95,417.5,9.59,85.24,87.02,97.52,23.06,-12.61,-1.29,262.6,862.69,-50.25
37,田中建設工業,1450,106.87,79.3,66.45,62.08,48.85,60.2,173.73,139.98,101.93,246.33,163.6,321.74,238.56,65.44,316.89
38,ＫＨＣ,1451,88.33,98.95,82.51,93.33,81.72,95.98,109.34,93.0,84.16,105.78,66.49,21.5,117.68,56.34,4.54
39,中外鉱業,1491,107.79,50.77,-137.1,-320.54,-239.53,-1433.33,142.22,157.5,131.54,-20.0,-10.26,-18.64,-13.51,-19.57,-15.15
40,住石ホールディングス,1514,77.99,137.02,12.8,125.19,40.1,124.03,58.65,62.32,54.21,89.74,-3.24,32.14,162.5,-3.58,44.38
41,日鉄鉱業,1515,95.24,103.93,101.3,88.29,84.31,109.92,100.19,98.06,91.83,171.83,95.12,75.34,120.92,117.82,98.89
42,三井松島産業,1518,87.97,114.14,52.7,339.71,102.49,147.8,71.07,88.21,91.63,121.25,126.91,49.95,-1614.99,29.37,202.96
45,石油資源開発,1662,118.97,116.2,617.51,26.39,181.54,-47.71,60.81,68.18,54.71,47.94,-32.8,-113.71,71.3,82.07,-106.53
47,省電舎,1711,177.58,71.55,46.13,127.46,150.67,26.53,72.05,23.48,22.18,117.39,106.41,173.08,76.39,142.1,38.81
48,ダイセキ環境ソリューション,1712,98.98,95.09,137.75,67.06,120.39,59.71,100.41,91.39,119.22,89.95,40.69,101.54,82.81,29.17,96.19
49,ダイセキ環境ソリューション,1716,117.28,91.33,130.45,80.48,121.81,84.1,0.0,94.65,116.53,0.0,84.77,140.33,0.0,42.53,124.94
50,明豊ファシリティワークス,1717,77.76,92.25,116.54,127.93,112.08,127.69,103.93,88.44,81.88,141.71,75.23,66.67,128.87,66.99,65.98
52,安藤・間,1719,105.05,95.48,104.25,66.34,186.73,35.05,87.95,94.48,114.81,116.03,94.4,194.02,122.2,97.06,182.7
53,東急建設,1720,97.2,103.34,92.4,102.67,96.16,96.24,91.46,50.37,54.22,60.59,11.96,0.51,68.99,10.47,1.23
54,コムシスホールディングス,1721,116.42,126.78,110.45,116.21,88.21,128.81,103.65,98.81,93.56,124.67,109.8,73.09,141.93,114.91,83.82
56,日本電技,1723,110.56,104.23,139.41,114.71,142.59,108.96,107.0,93.2,144.12,140.0,51.51,-109.95,138.34,52.4,-129.35
58,ビーアールホールディングス,1726,127.23,115.48,155.7,82.8,181.89,71.85,86.4,121.49,139.15,96.89,160.65,512.37,103.91,170.51,877.78
59,ミサワホーム中国,1728,89.53,106.78,31.36,214.29,172.36,-7.85,85.62,74.06,100.91,111.97,46.6,73.72,119.4,47.12,68.07
60,麻生フオームクリート,1730,94.11,113.49,160.0,-35.71,132.35,-21.22,150.29,119.18,104.29,521.62,-3600.0,14.63,510.38,-856.79,-1.47
61,北弘電社,1734,117.35,96.44,149.04,57.51,209.45,38.72,84.82,67.22,87.86,89.39,3.45,81.05,72.37,21.02,80.13
62,オーテック,1736,114.18,105.94,130.88,106.75,139.14,111.44,91.3,82.73,82.39,88.78,79.78,53.26,76.34,82.75,57.66
63,三井金属エンジニアリング,1737,64.77,84.15,7.08,98.88,10.73,102.17,118.01,119.44,187.24,1644.44,253.85,-24.05,777.06,215.6,-32.25
64,ＮＩＴＴＯＨ,1738,102.05,106.2,111.33,80.05,112.11,79.54,104.3,80.53,87.31,148.28,51.49,-13.64,157.11,54.65,-12.59
65,ＮＩＴＴＯＨ,1739,104.41,115.61,108.92,85.66,104.02,80.76,0.0,98.54,110.06,0.0,122.95,132.6,0.0,139.5,207.81
67,クレアホールディングス,1757,99.52,115.49,4825.0,1.16,35.34,51.64,52.79,83.14,70.89,462.86,67.18,390.0,231.82,32.14,814.29
68,クレアホールディングス,1758,110.26,88.24,136.18,100.0,141.22,108.45,0.0,137.58,112.02,0.0,208.16,53.39,0.0,180.77,50.61
69,高松コンストラクショングループ,1762,113.07,101.88,118.32,91.28,123.86,90.29,103.78,101.42,110.56,93.63,50.28,106.43,88.07,66.18,144.56
70,高松コンストラクショングループ,1764,94.66,116.7,60.78,174.65,65.69,163.01,0.0,153.12,106.03,0.0,-4716.67,80.26,0.0,-457.43,39.82
71,東建コーポレーション,1766,98.44,99.99,82.14,79.32,79.46,86.11,94.11,96.63,98.67,118.89,122.28,151.73,123.51,125.07,170.75
72,ソネック,1768,106.11,107.66,94.05,107.53,85.68,106.37,119.89,91.52,102.77,332.43,88.39,106.9,309.32,93.02,117.41
73,藤田エンジニアリング,1770,100.06,97.75,90.9,91.88,76.49,110.92,97.45,85.8,91.1,136.63,72.7,-344.74,130.41,80.75,-269.12
75,富士古河Ｅ＆Ｃ,1775,93.27,109.54,120.73,113.92,119.34,107.89,91.91,98.87,86.03,106.59,121.31,97.82,90.48,133.03,124.42
